station_poi_desc_cd,line_name,transition_date,number_of_passenger
Bağcılar Meydan,M1,2024-09-06,14689
Bağcılar Meydan,M1,2024-09-07,13985
Bağcılar Meydan,M1,2024-09-08,10886
Bağcılar Meydan,M1,2024-09-09,10604
Bağlarbaşı,M5,2024-09-01,3874
Bağlarbaşı,M5,2024-09-04,8754
Bağlarbaşı,M5,2024-09-05,8731
Bağlarbaşı,M5,2024-09-06,8989
Bağlarbaşı,M5,2024-09-07,6148
Bağlarbaşı,M5,2024-09-08,4287
Bağlarbaşı,M5,2024-09-09,5645
Başak Konutları,M3,2024-09-01,2230
Başak Konutları,M3,2024-09-04,6022
Başak Konutları,M3,2024-09-05,6187
Başak Konutları,M3,2024-09-06,6099
Başak Konutları,M3,2024-09-07,4415
Başak Konutları,M3,2024-09-08,2486
Başak Konutları,M3,2024-09-09,3089
Başakşehir-Metrokent,M3,2024-09-01,3217
Başakşehir-Metrokent,M3,2024-09-04,5400
Başakşehir-Metrokent,M3,2024-09-05,5455
Başakşehir-Metrokent,M3,2024-09-06,5467
Başakşehir-Metrokent,M3,2024-09-07,4608
Başakşehir-Metrokent,M3,2024-09-08,3297
Başakşehir-Metrokent,M3,2024-09-09,3842
Bostancı,M4,2024-09-01,5028
Bostancı,M4,2024-09-02,2
Bostancı,M4,2024-09-04,11593
Bostancı,M4,2024-09-05,11446
Bostancı,M4,2024-09-06,11517
Bostancı,M4,2024-09-07,8297
Bostancı,M4,2024-09-08,5554
Bostancı,M4,2024-09-09,8088
Bostancı,M8,2024-09-01,4693
Bostancı,M8,2024-09-04,7193
Bostancı,M8,2024-09-05,7531
Bostancı,M8,2024-09-06,7506
Bostancı,M8,2024-09-07,6330
Bostancı,M8,2024-09-08,4959
Bostancı,M8,2024-09-09,3243
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-01,1494
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-04,2083
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-05,2108
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-06,2291
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-07,2111
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-08,1714
Boğaziçi Üniversitesi/Hisarüstü,M6,2024-09-09,1095
