station_poi_desc_cd,line_name,transition_date,number_of_passenger
Olimpiyat,M9,2024-09-01,4011
Olimpiyat,M9,2024-09-04,6764
Olimpiyat,M9,2024-09-05,7046
Olimpiyat,M9,2024-09-06,7171
Olimpiyat,M9,2024-09-07,6476
Olimpiyat,M9,2024-09-08,4334
Olimpiyat,M9,2024-09-09,6254
Onurkent,M3,2024-09-01,1163
Onurkent,M3,2024-09-04,1899
Onurkent,M3,2024-09-05,1887
Onurkent,M3,2024-09-06,1966
Onurkent,M3,2024-09-07,1781
Onurkent,M3,2024-09-08,1378
Onurkent,M3,2024-09-09,1949
Oruçreis,M7,2024-09-01,4511
Oruçreis,M7,2024-09-02,2
Oruçreis,M7,2024-09-04,6353
Oruçreis,M7,2024-09-05,6358
Oruçreis,M7,2024-09-06,6516
Oruçreis,M7,2024-09-07,6060
Oruçreis,M7,2024-09-08,4575
Oruçreis,M7,2024-09-09,5835
Osmanbey,M2,2024-09-01,15571
Osmanbey,M2,2024-09-02,4
Osmanbey,M2,2024-09-03,5
Osmanbey,M2,2024-09-04,38719
Osmanbey,M2,2024-09-05,39268
Osmanbey,M2,2024-09-06,40571
Osmanbey,M2,2024-09-07,29102
Osmanbey,M2,2024-09-08,17748
Osmanbey,M2,2024-09-09,18690
Otogar,M1,2024-09-01,15034
Otogar,M1,2024-09-02,8
Otogar,M1,2024-09-04,11769
Otogar,M1,2024-09-05,11802
Otogar,M1,2024-09-06,12280
Otogar,M1,2024-09-07,12487
Otogar,M1,2024-09-08,13400
Otogar,M1,2024-09-09,8093
Parseller,M8,2024-09-01,877
Parseller,M8,2024-09-04,1547
Parseller,M8,2024-09-05,1531
Parseller,M8,2024-09-06,1537
Parseller,M8,2024-09-07,1265
Parseller,M8,2024-09-08,866
Parseller,M8,2024-09-09,1419
Pendik,M4,2024-09-01,4431
Pendik,M4,2024-09-02,1
Pendik,M4,2024-09-04,7725
Pendik,M4,2024-09-05,7708
Pendik,M4,2024-09-06,8006
Pendik,M4,2024-09-07,6206
Pendik,M4,2024-09-08,4729
Pendik,M4,2024-09-09,5828
SAMANDIRA MERKEZ,M5,2024-09-01,6972
SAMANDIRA MERKEZ,M5,2024-09-04,11778
SAMANDIRA MERKEZ,M5,2024-09-05,12116
SAMANDIRA MERKEZ,M5,2024-09-06,12193
SAMANDIRA MERKEZ,M5,2024-09-07,10094
SAMANDIRA MERKEZ,M5,2024-09-08,7558
SAMANDIRA MERKEZ,M5,2024-09-09,9362
SARIGAZI,M5,2024-09-01,8663
SARIGAZI,M5,2024-09-02,2
SARIGAZI,M5,2024-09-04,11755
SARIGAZI,M5,2024-09-05,12083
SARIGAZI,M5,2024-09-06,12378
SARIGAZI,M5,2024-09-07,11519
SARIGAZI,M5,2024-09-08,8736
SARIGAZI,M5,2024-09-09,10397
Sabiha Gökçen Havalimanı,M4,2024-09-01,11016
Sabiha Gökçen Havalimanı,M4,2024-09-02,4
Sabiha Gökçen Havalimanı,M4,2024-09-03,4
Sabiha Gökçen Havalimanı,M4,2024-09-04,8540
Sabiha Gökçen Havalimanı,M4,2024-09-05,8798
Sabiha Gökçen Havalimanı,M4,2024-09-06,9004
Sabiha Gökçen Havalimanı,M4,2024-09-07,9279
Sabiha Gökçen Havalimanı,M4,2024-09-08,9768
Sabiha Gökçen Havalimanı,M4,2024-09-09,5179
Sanayi Mahallesi,M2,2024-09-01,2546
Sanayi Mahallesi,M2,2024-09-04,8947
Sanayi Mahallesi,M2,2024-09-05,9142
Sanayi Mahallesi,M2,2024-09-06,8977
Sanayi Mahallesi,M2,2024-09-07,4738
Sanayi Mahallesi,M2,2024-09-08,2905
Sanayi Mahallesi,M2,2024-09-09,4222
Sancaktepe,M5,2024-09-01,2426
Sancaktepe,M5,2024-09-04,3994
Sancaktepe,M5,2024-09-05,4140
Sancaktepe,M5,2024-09-06,4166
Sancaktepe,M5,2024-09-07,3361
Sancaktepe,M5,2024-09-08,2328
Sancaktepe,M5,2024-09-09,3124
Sağmalcılar,M1,2024-09-01,7626
Sağmalcılar,M1,2024-09-04,13086
Sağmalcılar,M1,2024-09-05,13518
Sağmalcılar,M1,2024-09-06,13438
Sağmalcılar,M1,2024-09-07,11682
Sağmalcılar,M1,2024-09-08,8028
Sağmalcılar,M1,2024-09-09,10133
Seyrantepe,M2,2024-09-01,2933
Seyrantepe,M2,2024-09-04,8236
Seyrantepe,M2,2024-09-05,8342
Seyrantepe,M2,2024-09-06,8125
Seyrantepe,M2,2024-09-07,4440
Seyrantepe,M2,2024-09-08,3390
Seyrantepe,M2,2024-09-09,5193
Siteler,M3,2024-09-01,452
Siteler,M3,2024-09-04,3265
Siteler,M3,2024-09-05,3168
Siteler,M3,2024-09-06,3158
Siteler,M3,2024-09-07,1763
Siteler,M3,2024-09-08,503
Siteler,M3,2024-09-09,918
Soğanlık,M4,2024-09-01,4215
Soğanlık,M4,2024-09-02,2
Soğanlık,M4,2024-09-04,8410
Soğanlık,M4,2024-09-05,8203
Soğanlık,M4,2024-09-06,8510
Soğanlık,M4,2024-09-07,6418
Soğanlık,M4,2024-09-08,4262
Soğanlık,M4,2024-09-09,6536
Taksim,M2,2024-09-01,19141
Taksim,M2,2024-09-02,10
Taksim,M2,2024-09-03,2
Taksim,M2,2024-09-04,26716
Taksim,M2,2024-09-05,27390
Taksim,M2,2024-09-06,26986
Taksim,M2,2024-09-07,22906
Taksim,M2,2024-09-08,20285
Taksim,M2,2024-09-09,11295
Tavşantepe,M4,2024-09-01,5296
Tavşantepe,M4,2024-09-02,5
Tavşantepe,M4,2024-09-04,10139
Tavşantepe,M4,2024-09-05,10202
Tavşantepe,M4,2024-09-06,10536
Tavşantepe,M4,2024-09-07,7047
Tavşantepe,M4,2024-09-08,5456
Tavşantepe,M4,2024-09-09,8300
Tekstilkent-Giyimkent,M7,2024-09-01,901
Tekstilkent-Giyimkent,M7,2024-09-04,4313
Tekstilkent-Giyimkent,M7,2024-09-05,4201
Tekstilkent-Giyimkent,M7,2024-09-06,4225
Tekstilkent-Giyimkent,M7,2024-09-07,2167
Tekstilkent-Giyimkent,M7,2024-09-08,1012
Tekstilkent-Giyimkent,M7,2024-09-09,1706
Terazidere,M1,2024-09-01,5291
Terazidere,M1,2024-09-03,1
Terazidere,M1,2024-09-04,9419
Terazidere,M1,2024-09-05,9669
Terazidere,M1,2024-09-06,9790
Terazidere,M1,2024-09-07,8626
Terazidere,M1,2024-09-08,5688
Terazidere,M1,2024-09-09,6925
Toplu Konutlar,M3,2024-09-01,2139
Toplu Konutlar,M3,2024-09-04,3587
Toplu Konutlar,M3,2024-09-05,3693
Toplu Konutlar,M3,2024-09-06,3657
Toplu Konutlar,M3,2024-09-07,3049
Toplu Konutlar,M3,2024-09-08,2294
Toplu Konutlar,M3,2024-09-09,3512
Turgut Özal,M3,2024-09-01,588
Turgut Özal,M3,2024-09-04,4127
Turgut Özal,M3,2024-09-05,4170
Turgut Özal,M3,2024-09-06,4141
Turgut Özal,M3,2024-09-07,2110
Turgut Özal,M3,2024-09-08,617
Turgut Özal,M3,2024-09-09,1503
ULUBATLI,M1,2024-09-01,6612
ULUBATLI,M1,2024-09-02,3
ULUBATLI,M1,2024-09-03,1
ULUBATLI,M1,2024-09-04,10599
ULUBATLI,M1,2024-09-05,10857
ULUBATLI,M1,2024-09-06,11122
ULUBATLI,M1,2024-09-07,9423
ULUBATLI,M1,2024-09-08,6811
ULUBATLI,M1,2024-09-09,7238
VEYSELKARANI,M7,2024-09-01,5922
VEYSELKARANI,M7,2024-09-04,9594
VEYSELKARANI,M7,2024-09-05,9692
VEYSELKARANI,M7,2024-09-06,9704
VEYSELKARANI,M7,2024-09-07,8198
VEYSELKARANI,M7,2024-09-08,6208
VEYSELKARANI,M7,2024-09-09,8216
Vezneciler,M2,2024-09-01,4810
Vezneciler,M2,2024-09-03,1
Vezneciler,M2,2024-09-04,12830
Vezneciler,M2,2024-09-05,13820
Vezneciler,M2,2024-09-06,13100
Vezneciler,M2,2024-09-07,9214
Vezneciler,M2,2024-09-08,5343
Vezneciler,M2,2024-09-09,6370
YAKACIK,M4,2024-09-01,3163
YAKACIK,M4,2024-09-04,6258
YAKACIK,M4,2024-09-05,6248
YAKACIK,M4,2024-09-06,6472
YAKACIK,M4,2024-09-07,4705
YAKACIK,M4,2024-09-08,3221
YAKACIK,M4,2024-09-09,4862
YENI MAHALLE,M3,2024-09-01,3586
YENI MAHALLE,M3,2024-09-02,1
YENI MAHALLE,M3,2024-09-03,1
YENI MAHALLE,M3,2024-09-04,6376
YENI MAHALLE,M3,2024-09-05,6460
YENI MAHALLE,M3,2024-09-06,6558
YENI MAHALLE,M3,2024-09-07,5666
YENI MAHALLE,M3,2024-09-08,3808
YENI MAHALLE,M3,2024-09-09,5742
YESILPINAR,M7,2024-09-01,4492
YESILPINAR,M7,2024-09-04,7860
YESILPINAR,M7,2024-09-05,7857
YESILPINAR,M7,2024-09-06,8011
YESILPINAR,M7,2024-09-07,6641
YESILPINAR,M7,2024-09-08,4679
YESILPINAR,M7,2024-09-09,7009
Yamanevler,M5,2024-09-01,5613
Yamanevler,M5,2024-09-03,1
Yamanevler,M5,2024-09-04,8727
Yamanevler,M5,2024-09-05,9105
Yamanevler,M5,2024-09-06,9268
Yamanevler,M5,2024-09-07,8064
Yamanevler,M5,2024-09-08,6097
Yamanevler,M5,2024-09-09,6311
Yayalar-Şeyhli,M4,2024-09-01,2124
Yayalar-Şeyhli,M4,2024-09-04,4230
Yayalar-Şeyhli,M4,2024-09-05,4271
Yayalar-Şeyhli,M4,2024-09-06,4272
Yayalar-Şeyhli,M4,2024-09-07,3203
Yayalar-Şeyhli,M4,2024-09-08,2391
Yayalar-Şeyhli,M4,2024-09-09,4037
Yenibosna,M1,2024-09-01,3921
Yenibosna,M1,2024-09-04,7816
Yenibosna,M1,2024-09-05,8105
Yenibosna,M1,2024-09-06,7841
Yenibosna,M1,2024-09-07,6221
Yenibosna,M1,2024-09-08,4047
Yenibosna,M1,2024-09-09,5041
Yenibosna,M9,2024-09-01,4076
Yenibosna,M9,2024-09-03,1
Yenibosna,M9,2024-09-04,8825
Yenibosna,M9,2024-09-05,8797
Yenibosna,M9,2024-09-06,8829
Yenibosna,M9,2024-09-07,6396
Yenibosna,M9,2024-09-08,4219
Yenibosna,M9,2024-09-09,5989
Yenikapı,M1,2024-09-01,30311
Yenikapı,M1,2024-09-04,44682
Yenikapı,M1,2024-09-05,45772
Yenikapı,M1,2024-09-06,46467
Yenikapı,M1,2024-09-07,39891
Yenikapı,M1,2024-09-08,31847
Yenikapı,M1,2024-09-09,17704
Yenikapı,M2,2024-09-01,33176
Yenikapı,M2,2024-09-02,2
Yenikapı,M2,2024-09-04,56556
Yenikapı,M2,2024-09-05,57930
Yenikapı,M2,2024-09-06,58885
Yenikapı,M2,2024-09-07,46624
Yenikapı,M2,2024-09-08,34533
Yenikapı,M2,2024-09-09,41871
Yenimahalle,M7,2024-09-01,5180
Yenimahalle,M7,2024-09-04,9171
Yenimahalle,M7,2024-09-05,9182
Yenimahalle,M7,2024-09-06,9267
Yenimahalle,M7,2024-09-07,7384
Yenimahalle,M7,2024-09-08,4957
Yenimahalle,M7,2024-09-09,7939
Yenisahra,M4,2024-09-01,3567
Yenisahra,M4,2024-09-02,1
Yenisahra,M4,2024-09-03,1
Yenisahra,M4,2024-09-04,8182
Yenisahra,M4,2024-09-05,8243
Yenisahra,M4,2024-09-06,8279
Yenisahra,M4,2024-09-07,5862
Yenisahra,M4,2024-09-08,3722
Yenisahra,M4,2024-09-09,4467
Zeytinburnu,M1,2024-09-01,8056
Zeytinburnu,M1,2024-09-02,1
Zeytinburnu,M1,2024-09-04,12388
Zeytinburnu,M1,2024-09-05,12578
Zeytinburnu,M1,2024-09-06,12724
Zeytinburnu,M1,2024-09-07,11633
Zeytinburnu,M1,2024-09-08,8114
Zeytinburnu,M1,2024-09-09,8319
Ziya Gökalp Mahallesi,M9,2024-09-01,1405
Ziya Gökalp Mahallesi,M9,2024-09-03,1
Ziya Gökalp Mahallesi,M9,2024-09-04,3076
Ziya Gökalp Mahallesi,M9,2024-09-05,3263
Ziya Gökalp Mahallesi,M9,2024-09-06,3249
Ziya Gökalp Mahallesi,M9,2024-09-07,2507
Ziya Gökalp Mahallesi,M9,2024-09-08,1456
Ziya Gökalp Mahallesi,M9,2024-09-09,1994
Çakmak,M5,2024-09-01,7261
Çakmak,M5,2024-09-04,13891
Çakmak,M5,2024-09-05,14318
Çakmak,M5,2024-09-06,14231
Çakmak,M5,2024-09-07,11636
Çakmak,M5,2024-09-08,7964
Çakmak,M5,2024-09-09,8506
Çarşı,M5,2024-09-01,10147
Çarşı,M5,2024-09-03,2
Çarşı,M5,2024-09-04,16601
Çarşı,M5,2024-09-05,17169
Çarşı,M5,2024-09-06,17700
Çarşı,M5,2024-09-07,16479
Çarşı,M5,2024-09-08,10789
Çarşı,M5,2024-09-09,11276
Çağlayan,M7,2024-09-01,3680
Çağlayan,M7,2024-09-02,1
Çağlayan,M7,2024-09-04,9678
Çağlayan,M7,2024-09-05,9764
Çağlayan,M7,2024-09-06,9848
Çağlayan,M7,2024-09-07,6098
Çağlayan,M7,2024-09-08,3592
Çağlayan,M7,2024-09-09,4488
Çekmeköy,M5,2024-09-01,10870
Çekmeköy,M5,2024-09-04,18186
Çekmeköy,M5,2024-09-05,18578
Çekmeköy,M5,2024-09-06,19209
Çekmeköy,M5,2024-09-07,16216
Çekmeköy,M5,2024-09-08,11935
Çekmeköy,M5,2024-09-09,14284
Çobançeşme,M9,2024-09-01,485
Çobançeşme,M9,2024-09-04,1556
Çobançeşme,M9,2024-09-05,1531
Çobançeşme,M9,2024-09-06,1596
Çobançeşme,M9,2024-09-07,865
Çobançeşme,M9,2024-09-08,498
Çobançeşme,M9,2024-09-09,764
Özgürlük Meydanı,M3,2024-09-01,10636
Özgürlük Meydanı,M3,2024-09-02,1
Özgürlük Meydanı,M3,2024-09-03,1
Özgürlük Meydanı,M3,2024-09-04,14712
Özgürlük Meydanı,M3,2024-09-05,15002
Özgürlük Meydanı,M3,2024-09-06,15056
Özgürlük Meydanı,M3,2024-09-07,15414
Özgürlük Meydanı,M3,2024-09-08,11237
Özgürlük Meydanı,M3,2024-09-09,5865
Ümraniye,M5,2024-09-01,8624
Ümraniye,M5,2024-09-02,1
Ümraniye,M5,2024-09-03,1
Ümraniye,M5,2024-09-04,16249
Ümraniye,M5,2024-09-05,16367
Ümraniye,M5,2024-09-06,16524
Ümraniye,M5,2024-09-07,14451
Ümraniye,M5,2024-09-08,9265
Ümraniye,M5,2024-09-09,12178
Ünalan,M4,2024-09-01,10742
Ünalan,M4,2024-09-02,2
Ünalan,M4,2024-09-04,18857
Ünalan,M4,2024-09-05,19046
Ünalan,M4,2024-09-06,20464
Ünalan,M4,2024-09-07,14686
Ünalan,M4,2024-09-08,11710
Ünalan,M4,2024-09-09,8956
Üsküdar,M5,2024-09-01,28631
Üsküdar,M5,2024-09-02,5
Üsküdar,M5,2024-09-04,44225
Üsküdar,M5,2024-09-05,45310
Üsküdar,M5,2024-09-06,46597
Üsküdar,M5,2024-09-07,40598
Üsküdar,M5,2024-09-08,30183
Üsküdar,M5,2024-09-09,15976
Üçyüzlü,M1,2024-09-01,7847
Üçyüzlü,M1,2024-09-04,12052
Üçyüzlü,M1,2024-09-05,12097
Üçyüzlü,M1,2024-09-06,12209
Üçyüzlü,M1,2024-09-07,11141
Üçyüzlü,M1,2024-09-08,7878
Üçyüzlü,M1,2024-09-09,10077
İMES,M8,2024-09-01,826
İMES,M8,2024-09-04,3403
İMES,M8,2024-09-05,3522
İMES,M8,2024-09-06,3458
İMES,M8,2024-09-07,1604
İMES,M8,2024-09-08,932
İMES,M8,2024-09-09,1498
İSTOÇ,M3,2024-09-01,266
İSTOÇ,M3,2024-09-04,3764
İSTOÇ,M3,2024-09-05,3805
İSTOÇ,M3,2024-09-06,3875
İSTOÇ,M3,2024-09-07,2844
İSTOÇ,M3,2024-09-08,313
İSTOÇ,M3,2024-09-09,1155
İTÜ-Ayazağa,M2,2024-09-01,5174
İTÜ-Ayazağa,M2,2024-09-02,1
İTÜ-Ayazağa,M2,2024-09-04,19320
İTÜ-Ayazağa,M2,2024-09-05,19660
İTÜ-Ayazağa,M2,2024-09-06,18267
İTÜ-Ayazağa,M2,2024-09-07,8146
İTÜ-Ayazağa,M2,2024-09-08,5127
İTÜ-Ayazağa,M2,2024-09-09,5927
İkitelli Sanayi,M3,2024-09-01,966
İkitelli Sanayi,M3,2024-09-04,5748
İkitelli Sanayi,M3,2024-09-05,5813
İkitelli Sanayi,M3,2024-09-06,5812
İkitelli Sanayi,M3,2024-09-07,3535
İkitelli Sanayi,M3,2024-09-08,1060
İkitelli Sanayi,M3,2024-09-09,1657
İkitelli Sanayi,M9,2024-09-01,318
İkitelli Sanayi,M9,2024-09-02,1
İkitelli Sanayi,M9,2024-09-04,2360
İkitelli Sanayi,M9,2024-09-05,2339
İkitelli Sanayi,M9,2024-09-06,2313
İkitelli Sanayi,M9,2024-09-07,1372
İkitelli Sanayi,M9,2024-09-08,409
İkitelli Sanayi,M9,2024-09-09,668
İlkyuva,M3,2024-09-01,4235
İlkyuva,M3,2024-09-04,6517
İlkyuva,M3,2024-09-05,6644
İlkyuva,M3,2024-09-06,6820
İlkyuva,M3,2024-09-07,6403
İlkyuva,M3,2024-09-08,4214
İlkyuva,M3,2024-09-09,5583
İmam H. Lisesi,M5,2024-09-01,3482
İmam H. Lisesi,M5,2024-09-04,6338
İmam H. Lisesi,M5,2024-09-05,6391
İmam H. Lisesi,M5,2024-09-06,6539
İmam H. Lisesi,M5,2024-09-07,5462
İmam H. Lisesi,M5,2024-09-08,3560
İmam H. Lisesi,M5,2024-09-09,5382
İncirli,M3,2024-09-01,4629
İncirli,M3,2024-09-04,8323
İncirli,M3,2024-09-05,9268
İncirli,M3,2024-09-06,8508
İncirli,M3,2024-09-07,7902
İncirli,M3,2024-09-08,4949
İncirli,M3,2024-09-09,4325
İçerenköy,M8,2024-09-01,1569
İçerenköy,M8,2024-09-04,3574
İçerenköy,M8,2024-09-05,3613
İçerenköy,M8,2024-09-06,3503
İçerenköy,M8,2024-09-07,2730
İçerenköy,M8,2024-09-08,1824
İçerenköy,M8,2024-09-09,2813
Şehir Hastanesi,M3,2024-09-01,2318
Şehir Hastanesi,M3,2024-09-04,7066
Şehir Hastanesi,M3,2024-09-05,7653
Şehir Hastanesi,M3,2024-09-06,7450
Şehir Hastanesi,M3,2024-09-07,2742
Şehir Hastanesi,M3,2024-09-08,2259
Şehir Hastanesi,M3,2024-09-09,5171
Şişhane,M2,2024-09-01,11769
Şişhane,M2,2024-09-02,6
Şişhane,M2,2024-09-04,18817
Şişhane,M2,2024-09-05,19218
Şişhane,M2,2024-09-06,19275
Şişhane,M2,2024-09-07,15640
Şişhane,M2,2024-09-08,12102
Şişhane,M2,2024-09-09,8636
Şişli-Mecidiyeköy,M2,2024-09-01,31785
Şişli-Mecidiyeköy,M2,2024-09-02,1
Şişli-Mecidiyeköy,M2,2024-09-03,4
Şişli-Mecidiyeköy,M2,2024-09-04,59708
Şişli-Mecidiyeköy,M2,2024-09-05,61113
Şişli-Mecidiyeköy,M2,2024-09-06,62151
Şişli-Mecidiyeköy,M2,2024-09-07,48538
Şişli-Mecidiyeköy,M2,2024-09-08,33885
Şişli-Mecidiyeköy,M2,2024-09-09,41812
Şişli-Mecidiyeköy,M7,2024-09-01,21123
Şişli-Mecidiyeköy,M7,2024-09-02,1
Şişli-Mecidiyeköy,M7,2024-09-04,39211
Şişli-Mecidiyeköy,M7,2024-09-05,39961
Şişli-Mecidiyeköy,M7,2024-09-06,38871
Şişli-Mecidiyeköy,M7,2024-09-07,29820
Şişli-Mecidiyeköy,M7,2024-09-08,22695
Şişli-Mecidiyeköy,M7,2024-09-09,12093
