Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M11,4,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,4,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,5,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,5,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,6,6,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,6,6,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,7,6,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,7,6,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,8,5,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,8,5,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,9,8,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,9,8,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,10,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,10,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,11,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,11,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,12,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,12,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,13,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,13,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,14,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,14,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,15,8,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,15,8,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,16,8,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,16,8,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,17,8,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,17,8,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,18,9,Gayrettepe to İstanbul Havalimanı,Weekday,Yes
M11,18,9,İstanbul Havalimanı to Gayrettepe,Weekday,Yes
M11,19,9,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,19,9,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,20,6,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,20,6,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,21,7,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,21,7,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,22,6,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,22,6,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,23,5,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,23,5,İstanbul Havalimanı to Gayrettepe,Weekday,No
