Line,Station,Direction,transition_date,transition_hour,number_of_passenger,RemainingCapacity
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,2,44,61.69
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,2,0,109.72
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,2,87,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,2,87,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,2,0,393.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,2,44,412.14
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,2,127,383.07
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,2,286,277.39
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,2,47,35.97
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,2,56,86.65
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,2,21,207.66
M2,Levent,Yenikapı to Hacıosman,2024-09-01,2,50,309.21
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,2,0,336.07
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,2,4,367.73
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,2,0,388.43
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,2,0,408.58
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,2,3,424.29
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,2,0,433.55
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,2,4,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,3,3,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,3,0,477.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,3,1,477.66
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,3,0,477.17
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,3,0,477.8
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,3,2,478.28
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,3,0,476.66
M2,Levent,Hacıosman to Yenikapı,2024-09-01,3,20,477.39
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,3,19,458.57
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,3,39,449.21
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,3,29,424.07
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,3,260,407.37
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,3,69,163.35
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,3,17,164.01
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,3,0,216.53
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,3,26,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,3,26,480.0
